"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"LSQ12gdj","2012/11/07","15.02","ESO 472-G007","23:54:43.32","-25:40:34.0,-25:40:34.09,-25:40:34.1","0.03","Ia","587","38",""
"SN2005hc","2005/10/12","17.24","MCG +00-06-03","01:56:47.976,01:56:47.9,01:56:47.952,01:56:47.928,01:56:47.95,01:56:47.94","-00:12:48.62,-00:12:49,-00:12:49.392,-00:12:49.6332,-00:12:49.40,-00:12:49.2,-00:12:49.21","0.045915","Ia","498","8",""
"SN2004ef","2004/09/04","16.73","UGC 12158","22:42:10.533,22:42:10.08,22:42:10.02","+19:59:48.99,+19:59:40.56,+19:59:40.4,+19:59:40.42","0.03083","Ia","394","29",""
"SN2007jg","2007/09/14","17.45","SDSS J032950.83+000316.0","03:29:50.81,03:29:50.815,03:29:50.808,03:29:50.83,03:29:50.82","+00:03:24.6,+00:03:24.55,+00:03:24.3,+00:03:24.58,+00:03:24.33,+00:03:24.60,+00:03:24.59","0.037069","Ia","300","11",""
"SN2006bt","2006/04/26","16.81","CGCG 108-013","15:56:30.48,15:56:30.53","+20:02:45.60,+20:02:45.6","0.03193","Ia","260","14",""
"SN2005ag","2005/02/10","18.2","2MASX J14564322+0919361","14:56:43.68,14:56:43.65","+09:19:42.49,+09:19:42.5","0.07949","Ia","250","5",""
"SN2005hj","2005/10/26","17.7","SDSS J012648.45-011417.3","01:26:48.40,01:26:48.4,01:26:48.408,01:26:48.26,01:26:48.27","-01:14:17.2,-01:14:17,-01:14:17.232,-01:14:17.304,-01:14:17.268,-01:14:16.80,-01:14:16.8","0.057385","Ia","248","11",""
"SN2007nq","2007/10/21","17.41","UGC 595","00:57:33.721,00:57:33.6,00:57:33.58,00:57:33.57","-01:23:20.29,-01:23:19.464,-01:23:19.00,-01:23:19.0","0.045031","Ia","239","16",""
"SN2007if","2007/08/16","17.48","J011051.37+152739","01:10:51.37,01:10:51.370,01:10:51.408,01:10:51.36","+15:27:39.9,+15:27:39.63,+15:27:39.6,+15:27:39.96,+15:27:39.89","0.0745","Ia Pec","232","34",""
"SN2001eh","2001/09/09","16.4","UGC 1162","01:38:12.10","+41:39:18.8,+41:39:18.79","0.037039,0.037036","Ia","226","24",""
"SN2005iq","2005/11/05","16.65","MCG -03-01-08","23:58:32.50,23:58:32.4,23:58:32.40","-18:42:33.0,-18:42:32.76,-18:42:33.12,-18:42:33.01","0.034044","Ia","208","4",""
"SN2006is","2006/09/18","16.28","A051734-2346","05:17:34.37","-23:46:54.2,-23:46:54.12,-23:46:54.19","0.031421,0.031421","Ia","207","34",""
"SN2001ay","2001/04/18","15.1","IC 4423","14:26:17.00","+26:14:55.8,+26:14:55.79","0.03024,0.03024","Ia","206","24",""
"SN2006eq","2006/08/26","18.28","SDSS J12837.60+011348.6","21:28:37.13,21:28:37.2,21:28:37.20","+01:13:41.2,+01:13:41.196,+01:13:40.944,+01:13:41.20","0.049408","Ia","187","3",""
"SN1995ac","1995/09/22","17.14","2MFGC 17122","22:45:34.14","-08:45:04.7,-08:45:04.72","0.0499,0.0499,0.0422,0.0438,0.0441,0.0496","Ia Pec","186","6",""
"SN2005gj","2005/09/26","17.02","SDSS J030111.99-003313.5","03:01:11.96,03:01:12.0,03:01:11.952,03:01:11.928","-00:33:13.9,-00:33:14,-00:33:13.932,-00:33:13.914,-00:33:14.1696,-00:33:13.90","0.0616","Ia","176","16","0"
"SN2004gu","2004/12/13","17.34","FGC 175A","12:46:24.72","+11:56:56.1,+11:56:56.04,+11:56:56.11","0.0419081,0.0434972","Ia","170","2",""
